BLOQUE;Semanas;Tratamiento;Repetición;Peso (gs);Consumo Sem (gs);Consumo Acum. (gs);FCR   Semanal;FCR Acum.;GDP Semanal;GDP Lineal;% Mortalidad ;% Mortalidad  Acum;FCR AJ 2,5 KG;Ratio;FCR AJ 2 KG;FCR AJ 2,7 KG
A3;1,00;1,00;1,00;210,20;162,80;162,80;0,77;0,77;30,03;30,03;0,00;0,00;;4,61;;
A10;1,00;1,00;2,00;215,92;167,76;167,76;0,78;0,78;30,85;30,85;0,00;0,00;;4,60;;
A13;1,00;1,00;3,00;218,78;164,49;164,49;0,75;0,75;31,25;31,25;0,00;0,00;;4,58;;
A16;1,00;1,00;4,00;217,60;168,80;168,80;0,78;0,78;31,09;31,09;0,00;0,00;;4,65;;
B7;1,00;1,00;6,00;204,80;158,40;158,40;0,77;0,77;29,26;29,26;0,00;0,00;;4,38;;
B11;1,00;1,00;7,00;204,40;168,40;168,40;0,82;0,82;29,20;29,20;0,00;0,00;;4,44;;
B17;1,00;1,00;8,00;212,40;160,00;160,00;0,75;0,75;30,34;30,34;0,00;0,00;;4,62;;
A1;1,00;2,00;1,00;191,02;153,88;153,88;0,81;0,81;27,29;27,29;0,02;0,02;;4,82;;
A9;1,00;2,00;2,00;186,80;148,00;148,00;0,79;0,79;26,69;26,69;0,00;0,00;;4,81;;
A14;1,00;2,00;3,00;183,60;145,60;145,60;0,79;0,79;26,23;26,23;0,00;0,00;;4,73;;
A19;1,00;2,00;4,00;185,57;146,53;146,53;0,79;0,79;26,51;26,51;0,02;0,02;;4,69;;
B5;1,00;2,00;5,00;201,20;166,00;166,00;0,83;0,83;28,74;28,74;0,00;0,00;;5,03;;
B8;1,00;2,00;6,00;189,60;148,00;148,00;0,78;0,78;27,09;27,09;0,00;0,00;;4,56;;
B13;1,00;2,00;7,00;180,39;161,22;161,22;0,89;0,89;25,77;25,77;0,02;0,02;;4,70;;
B19;1,00;2,00;8,00;186,10;135,42;135,42;0,73;0,73;26,59;26,59;0,02;0,02;;4,70;;
A2;1,00;3,00;1,00;210,80;164,80;164,80;0,78;0,78;30,11;30,11;0,00;0,00;;4,54;;
A6;1,00;3,00;2,00;205,60;158,40;158,40;0,77;0,77;29,37;29,37;0,00;0,00;;4,39;;
A11;1,00;3,00;3,00;207,33;154,29;154,29;0,74;0,74;29,62;29,62;0,02;0,02;;4,43;;
A17;1,00;3,00;4,00;209,78;158,37;158,37;0,75;0,75;29,97;29,97;0,02;0,02;;4,48;;
B9;1,00;3,00;5,00;200,00;157,60;157,60;0,79;0,79;28,57;28,57;0,00;0,00;;4,27;;
B14;1,00;3,00;6,00;211,02;165,00;165,00;0,78;0,78;30,15;30,15;0,04;0,04;;4,51;;
B20;1,00;3,00;7,00;210,00;159,60;159,60;0,76;0,76;30,00;30,00;0,00;0,00;;4,53;;
A5;1,00;4,00;1,00;189,60;145,60;145,60;0,77;0,77;27,09;27,09;0,00;0,00;;4,79;;
A8;1,00;4,00;2,00;184,80;145,20;145,20;0,79;0,79;26,40;26,40;0,00;0,00;;4,62;;
A15;1,00;4,00;3,00;190,00;144,00;144,00;0,76;0,76;27,14;27,14;0,00;0,00;;4,61;;
A20;1,00;4,00;4,00;178,80;134,40;134,40;0,75;0,75;25,54;25,54;0,00;0,00;;4,34;;
B4;1,00;4,00;5,00;184,00;139,20;139,20;0,76;0,76;26,29;26,29;0,00;0,00;;4,47;;
B10;1,00;4,00;6,00;190,40;157,60;157,60;0,83;0,83;27,20;27,20;0,00;0,00;;4,62;;
B12;1,00;4,00;7,00;188,40;145,20;145,20;0,77;0,77;26,91;26,91;0,00;0,00;;4,62;;
B18;1,00;4,00;8,00;189,04;166,94;166,94;0,88;0,88;27,01;27,01;0,02;0,02;;4,63;;
A4;1,00;5,00;1,00;208,67;161,22;161,22;0,77;0,77;29,81;29,81;0,02;0,02;;4,62;;
A7;1,00;5,00;2,00;202,80;150,80;150,80;0,74;0,74;28,97;28,97;0,00;0,00;;4,45;;
A12;1,00;5,00;3,00;209,60;155,20;155,20;0,74;0,74;29,94;29,94;0,00;0,00;;4,60;;
A18;1,00;5,00;4,00;196,08;147,45;147,45;0,75;0,75;28,01;28,01;0,00;0,00;;4,55;;
B1;1,00;5,00;5,00;204,27;152,65;152,65;0,75;0,75;29,18;29,18;0,02;0,02;;4,56;;
B6;1,00;5,00;6,00;208,77;149,58;149,58;0,72;0,72;29,82;29,82;0,04;0,04;;4,66;;
B15;1,00;5,00;7,00;204,40;152,00;152,00;0,74;0,74;29,20;29,20;0,00;0,00;;4,44;;
B16;1,00;5,00;8,00;193,60;153,60;153,60;0,79;0,79;27,66;27,66;0,00;0,00;;4,40;;
C1;1,00;7,00;1,00;209,06;165,31;165,31;0,79;0,79;29,87;29,87;0,02;0,02;;4,67;;
C9;1,00;7,00;2,00;205,20;158,00;158,00;0,77;0,77;29,31;29,31;0,00;0,00;;4,38;;
C13;1,00;7,00;3,00;205,88;157,65;157,65;0,77;0,77;29,41;29,41;0,00;0,00;;4,49;;
C16;1,00;7,00;4,00;216,40;167,20;167,20;0,77;0,77;30,91;30,91;0,00;0,00;;4,70;;
D3;1,00;7,00;5,00;208,98;159,59;159,59;0,76;0,76;29,85;29,85;0,00;0,00;;4,45;;
D7;1,00;7,00;6,00;208,98;162,04;162,04;0,78;0,78;29,85;29,85;0,00;0,00;;4,49;;
D12;1,00;7,00;7,00;218,00;168,80;168,80;0,77;0,77;31,14;31,14;0,00;0,00;;4,74;;
C2;1,00;8,00;1,00;207,35;152,92;152,92;0,74;0,74;29,62;29,62;0,02;0,02;;5,13;;
C8;1,00;8,00;2,00;190,00;153,06;153,06;0,81;0,81;27,14;27,14;0,02;0,02;;4,66;;
C15;1,00;8,00;3,00;194,15;149,58;149,58;0,77;0,77;27,74;27,74;0,04;0,04;;4,71;;
C17;1,00;8,00;4,00;193,29;151,02;151,02;0,78;0,78;27,61;27,61;0,02;0,02;;4,83;;
D1;1,00;8,00;5,00;200,80;153,20;153,20;0,76;0,76;28,69;28,69;0,00;0,00;;4,74;;
D8;1,00;8,00;6,00;185,88;143,92;143,92;0,77;0,77;26,55;26,55;0,00;0,00;;4,79;;
D13;1,00;8,00;7,00;186,94;144,90;144,90;0,78;0,78;26,71;26,71;0,00;0,00;;4,63;;
D18;1,00;8,00;8,00;184,80;149,60;149,60;0,81;0,81;26,40;26,40;0,00;0,00;;4,67;;
C4;1,00;9,00;1,00;202,80;152,40;152,40;0,75;0,75;28,97;28,97;0,00;0,00;;4,41;;
C6;1,00;9,00;2,00;205,60;153,60;153,60;0,75;0,75;29,37;29,37;0,00;0,00;;4,43;;
C14;1,00;9,00;3,00;214,00;170,80;170,80;0,80;0,80;30,57;30,57;0,00;0,00;;4,61;;
C18;1,00;9,00;4,00;215,20;163,20;163,20;0,76;0,76;30,74;30,74;0,00;0,00;;4,60;;
D5;1,00;9,00;5,00;219,98;151,43;151,43;0,69;0,69;31,43;31,43;0,02;0,02;;4,78;;
D19;1,00;9,00;6,00;213,20;161,60;161,60;0,76;0,76;30,46;30,46;0,00;0,00;;4,72;;
C3;1,00;10,00;1,00;191,76;149,41;149,41;0,78;0,78;27,39;27,39;0,00;0,00;;4,84;;
C7;1,00;10,00;2,00;183,60;154,80;154,80;0,84;0,84;26,23;26,23;0,00;0,00;;4,54;;
C11;1,00;10,00;3,00;196,80;148,80;148,80;0,76;0,76;28,11;28,11;0,00;0,00;;4,82;;
C20;1,00;10,00;4,00;187,20;146,40;146,40;0,78;0,78;26,74;26,74;0,00;0,00;;4,54;;
D4;1,00;10,00;5,00;193,20;144,00;144,00;0,75;0,75;27,60;27,60;0,00;0,00;;4,88;;
D6;1,00;10,00;6,00;191,80;153,88;153,88;0,80;0,80;27,40;27,40;0,02;0,02;;4,66;;
D11;1,00;10,00;7,00;195,29;145,10;145,10;0,74;0,74;27,90;27,90;0,00;0,00;;4,98;;
D17;1,00;10,00;8,00;195,60;146,40;146,40;0,75;0,75;27,94;27,94;0,00;0,00;;4,61;;
C5;1,00;11,00;1,00;215,69;157,55;157,55;0,73;0,73;30,81;30,81;0,02;0,02;;4,65;;
C10;1,00;11,00;2,00;201,60;150,40;150,40;0,75;0,75;28,80;28,80;0,00;0,00;;4,46;;
C12;1,00;11,00;3,00;199,60;150,00;150,00;0,75;0,75;28,51;28,51;0,00;0,00;;4,50;;
C19;1,00;11,00;4,00;214,40;164,80;164,80;0,77;0,77;30,63;30,63;0,00;0,00;;4,70;;
D2;1,00;11,00;5,00;208,24;153,73;153,73;0,74;0,74;29,75;29,75;0,00;0,00;;4,87;;
D20;1,00;11,00;6,00;217,60;156,40;156,40;0,72;0,72;31,09;31,09;0,00;0,00;;4,73;;
A3;2,00;1,00;1,00;559,39;427,35;590,15;1,22;1,05;49,88;39,96;0,02;0,02;;;;
A10;2,00;1,00;2,00;551,02;426,12;593,88;1,27;1,08;47,87;39,36;0,00;0,00;;;;
A13;2,00;1,00;3,00;588,16;452,24;616,73;1,22;1,05;52,77;42,01;0,00;0,00;;;;
A16;2,00;1,00;4,00;574,80;440,80;609,60;1,23;1,06;51,03;41,06;0,00;0,00;;;;
B7;2,00;1,00;5,00;544,08;402,45;560,85;1,19;1,03;48,47;38,86;0,02;0,02;;;;
B11;2,00;1,00;6,00;541,20;404,00;572,40;1,20;1,06;48,11;38,66;0,00;0,00;;;;
B17;2,00;1,00;7,00;563,60;422,80;582,80;1,20;1,03;50,17;40,26;0,00;0,00;;;;
